Song Name,Original Artist,Times Played,Debut,Last Seen,Current Gap
Take Me Out to the Ballgame,Tin Pan Alley,1,2014-10-27,2014-10-27,42
Walfredo,Phish,7,1997-02-13,2014-10-27,42
Destiny Unbound,Phish,40,1990-09-14,2014-10-25,43
Tela,Phish,82,1988-03-12,2014-10-25,43
Sparkle,Phish,314,1991-09-25,2014-10-24,44
Jesus Just Left Chicago,ZZ Top,80,1987-08-10,2014-10-22,45
Soul Shakedown Party,Bob Marley and The Wailers,9,1997-02-17,2014-10-22,45
Bold As Love,Jimi Hendrix Experience,78,1988-07-07,2014-10-18,47
Quinn the Eskimo,Bob Dylan,34,1985-04-06,2014-10-17,48
Fluffhead,Phish,248,1984-12-01,2014-08-30,50
Ha Ha Ha,Phish,30,1995-05-14,2014-08-29,51
Fast Enough for You,Phish,73,1992-11-19,2014-08-03,52
Pebbles and Marbles,Trey Anastasio,18,2003-01-03,2014-08-03,52
The Ballad of Curtis Loew,Lynyrd Skynyrd,41,1987-04-29,2014-08-01,54
Alaska,Trey Anastasio,34,2009-06-09,2014-07-30,55
Billy Breathes,Phish,57,1995-09-27,2014-07-30,55
If I Could,Phish,54,1994-04-04,2014-07-29,56
Catapult,Phish,33,1992-04-17,2014-07-27,57
Fee,Phish,276,1987-08-09,2014-07-27,57
I Been Around,Phish,4,2009-08-16,2014-07-27,57
Jennifer Dances,Phish,4,1999-12-05,2014-07-27,57
The Mango Song,Phish,97,1989-03-30,2014-07-26,58
Beauty of a Broken Heart,Phish,11,2009-03-07,2014-07-25,59
Icculus,Phish,27,1986-04-01,2013-12-31,78
Show of Life,Trey Anastasio,24,2010-06-11,2013-12-31,78
Amidst the Peals of Laughter,Phish,1,2013-10-31,2013-10-31,84
Snow,Phish,1,2013-10-31,2013-10-31,84
You Never Know,Phish,1,2013-10-31,2013-10-31,84
Cars Trucks Buses,Phish,78,1995-09-27,2013-10-29,85
Walk Away,The James Gang,79,1988-07-23,2013-10-29,85
Ride Captain Ride,Blues Image,17,1987-03-23,2013-10-26,87
My Mind's Got a Mind of its Ow...,Jimmy Dale Gilmore,44,1992-01-14,2013-10-25,88
Back in the U.S.S.R.,The Beatles,3,1994-10-31,2013-10-23,89
While My Guitar Gently Weeps,The Beatles,34,1994-10-31,2013-10-23,89
Paul and Silas,Josh White,90,1990-09-13,2013-10-20,91
Takin' Care of Business,Bachman-Turner Overdrive,1,2013-10-20,2013-10-20,91
Legalize It,Peter Tosh,1,2013-09-01,2013-09-01,94
On the Road Again,Willie Nelson,1,2013-08-31,2013-08-31,95
